COUNTRY,YEAR,URBAN,TOTAL_POP,WGCARE_COUNT,WGCOGN_COUNT,WGCOMM_COUNT,WGHEAR_COUNT,WGMOBIL_COUNT,WGVISION_COUNT
76,2000,1,24524447.41,0,0,0,867074.76,840678.12,1090600.35
76,2000,2,112394820.28999999,0,0,0,4025722.87,4177596.46,4781153.39
