COUNTRY,YEAR,EMPSTAT,TOTAL_POP,WGCARE_COUNT,WGCOGN_COUNT,WGCOMM_COUNT,WGHEAR_COUNT,WGMOBIL_COUNT,WGVISION_COUNT
76,2000,1,65634175.13999999,0,0,0,1759861.83,1307133.78,1988315.21
76,2000,2,11838305.68,0,0,0,407265.77,341277.62,466251.66
76,2000,3,59446786.88,0,0,0,2725670.03,3369863.18,3417186.87
